ElementName	DataType	Size	Required	ElementDescription	ValueRange	Notes	Aliases
sex	String	20	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	"ch_sex	gender	gender_t1	gender_t2	gender_t3	gender_t4	sex"
respondent	String	20	Required	Respondent	Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;NA	NA=Not Applicable	N/A
respondent_other_specify	String	50	Recommended	Respondent: Other (specify)	N/A	N/A	N/A
pss_1	Integer	N/A	Recommended	"1. In the last week	 how often has your child felt that s/he could not control some important parts of his/her life?"	0::4; 999	0=never; 1=almost never; 2=sometimes; 3=fairly often; 4=very often; 999=NA/NK/missing	N/A
pss_2	Integer	N/A	Recommended	"2. In the last week	 how often has your child felt upset because of something that happened unexpectedly?"	0::4; 999	0=never; 1=almost never; 2=sometimes; 3=fairly often; 4=very often; 999=NA/NK/missing	feelupsetunexpectedhappen
pss_3	Integer	N/A	Recommended	"3. In the last week	 how often has your child felt nervous or stressed?"	0::4; 999	0=never; 1=almost never; 2=sometimes; 3=fairly often; 4=very often; 999=NA/NK/missing	nervousstressed
pss_4	Integer	N/A	Recommended	"4. In the last week	 how often has your child dealt successfully with irritating hassles?"	0::4; 999	4=never; 3=almost never; 2=sometimes; 1=fairly often; 0=very often; 999=NA/NK/missing	pss_4r
pss_5	Integer	N/A	Recommended	"5. In the last week	 how often has your child felt confident about his/her ability to handle his/her problems?"	0::4; 999	4=never; 3=almost never; 2=sometimes; 1=fairly often; 0=very often; 999=NA/NK/missing	"confidenthandleproblems	pss2_t4	pss_6r"
pss_6	Integer	N/A	Recommended	"6. In the last week	 how often has your child felt that things were going his/her way?"	0::4; 999	4=never; 3=almost never; 2=sometimes; 1=fairly often; 0=very often; 999=NA/NK/missing	"goingmyway	pss_7r"
pss_7	Integer	N/A	Recommended	"7. In the last week	 how often has your child felt that s/he could not handle all the things s/he had to do?"	0::4; 999	4=never; 3=almost never; 2=sometimes; 1=fairly often; 0=very often; 999=NA/NK/missing	N/A
pss_8	Integer	N/A	Recommended	"8. In the last week	 how often has your child been able to cope with annoying things that happened to him/her?"	0::4; 999	0=never; 1=almost never; 2=sometimes; 3=fairly often; 4=very often; 999=NA/NK/missing	couldnotcope
pss_9	Integer	N/A	Recommended	"9. In the last week	 how often has your child felt that s/he was on top of things?"	0::4; 999	4=never; 3=almost never; 2=sometimes; 1=fairly often; 0=very often; 999=NA/NK/missing	"pss_10r	topofthings"
pss_10	Integer	N/A	Recommended	"10. In the last week	 how often has your child felt like s/he had too many troubles at the same time?"	0::4; 999	0=never; 1=almost never; 2=sometimes; 3=fairly often; 4=very often; 999=NA/NK/missing	N/A
pss_totalscore	Integer	N/A	Recommended	PSS Total Score	0::64; 999	999=NA/NK/missing	"nih_tlbx_raw	nihtbx_stress_par_rawscore	nihtbx_stress_rawscore	ps_score	ps_score_par	pss10_score	pss_10_total	pss_14_total	pss_4_total	pss_sum	pss_summary	pss_total	psstot_t4"
pssp1_1	Integer	N/A	Recommended	"In the last month	 how often have you/your child been/was upset because of something that happened unexpectedly?"	0::4;-99;77;88	0= Never; 1= Almost Never; 2=  Sometimes; 3= Fairly Often; 4= Very Often ; -99= N/A; 77= Refused ; 88= Missing	"chrpss_pssp1_1	perceivedstress1	ps1	pss10_1_54b395	pss10_q01	pss_cohen_01	pss_q1	pssc1_1	sc001	scpxy001m	upset"
pssp1_2	Integer	N/A	Recommended	"In the last month	 how often have you felt that you were unable to control the important things in your life?"	0::4;-99;77;88	0= Never; 1= Almost Never; 2=  Sometimes; 3= Fairly Often; 4= Very Often ; -99= N/A; 77= Refused ; 88= Missing	"chrpss_pssp1_2	perceivedstress2	ps2	pss10_2_d9e718	pss10_q02	pss1_t4	pss_cohen_02	pss_q2	pssc1_2	sc002	unable_control	unabletocontrol"
pssp1_3	Integer	N/A	Recommended	"In the last month	 how often have you felt/did your child appear nervous and ""stressed""?"	0::4;-99;77;88	0= Never; 1= Almost Never; 2=  Sometimes; 3= Fairly Often; 4= Very Often ; -99= N/A; 77= Refused ; 88= Missing	"chrpss_pssp1_3	nervous_stressed	perceivedstress3	ps3	pss10_3_498c30	pss10_q03	pss_cohen_03	pss_q3	pssc1_3	sc003	scpxy003"
pssp1_4	Integer	N/A	Recommended	"In the last month	 how often have you dealt successfully with day to day problems an annoyances?"	0::4;-99;77;88	4= Never; 3= Almost Never; 2=  Sometimes; 1= Fairly Often; 0= Very Often ; -99= N/A; 77= Refused ; 88= Missing	"pss_cohen_04	pssc1_4"
pssp1_5	Integer	N/A	Recommended	"In the last month	 how often have you felt that you were effectively coping with important changes that were occuring in your life?"	0::4;-99;77;88	4= Never; 3= Almost Never; 2=  Sometimes; 1= Fairly Often; 0= Very Often ; -99= N/A; 77= Refused ; 88= Missing	"PSSc2_5	pss_5r	pss_cohen_05"
pssp2_1	Integer	N/A	Recommended	"In the last month	 how often have you felt/your child appear confident about your/his/her ability to handle personal problems?"	0::4;-99;77;88	4= Never; 3= Almost Never; 2=  Sometimes; 1= Fairly Often; 0= Very Often ; -99= N/A; 77= Refused ; 88= Missing	"PSSc2_6	chrpss_pssp2_1	confident	perceivedstress4	ps4	pss10_4_3de966	pss10_q04	pss_cohen_06	pss_q4	pssp2_6	rpss2_t4	sc006	scpxy006m"
pssp2_2	Integer	N/A	Recommended	"In the last month	 how often have you felt that things were going your way?"	0::4;-99;77;88	4= Never; 3= Almost Never; 2=  Sometimes; 1= Fairly Often; 0= Very Often ; -99= N/A; 77= Refused ; 88= Missing	"PSSc2_7	chrpss_pssp2_2	going_your_way	perceivedstress5	ps5	pss10_5_aabc7a	pss10_q05	pss3_t4	pss_cohen_07	pss_q5	pssp2_7	rpss3_t4	sc007"
pssp2_3	Integer	N/A	Recommended	"In the last month	 how often have you found that you could not/your child seem unable to cope with all the things that you had to do?"	0::4;-99;77;88	0= Never; 1= Almost Never; 2=  Sometimes; 3= Fairly Often; 4= Very Often ; -99= N/A; 77= Refused ; 88= Missing	"PSSc2_8	chrpss_pssp2_3	could_not_cope	ps6	pss10_6_b83657	pss10_q06	pss_cohen_08	pss_q6	pssp2_8	sc008	scpxy008m"
pssp2_4	Integer	N/A	Recommended	"In the last month	 how often have you been/your child seem able to control irritations in your life?"	0::4;-99;77;88	4= Never; 3= Almost Never; 2=  Sometimes; 1= Fairly Often; 0= Very Often ; -99= N/A; 77= Refused ; 88= Missing	"PSSc2_9	chrpss_pssp2_4	control_irr	controlirritations	perceivedstress7	ps7	pss10_7_edcab6	pss10_q07	pss_9r	pss_cohen_09	pss_q7	pssp2_9	sc009	scpxy009m"
pssp2_5	Integer	N/A	Recommended	"In the last month	 how often have you felt that you were on top of things?"	0::4;-99;77;88	4= Never; 3= Almost Never; 2=  Sometimes; 1= Fairly Often; 0= Very Often ; -99= N/A; 77= Refused ; 88= Missing	"PSSc3_10	chrpss_pssp2_5	on_top	perceivedstress8	ps8	pss10_8_01cc83	pss10_q08	pss_cohen_10	pss_q8	pssp2_10	sc010"
pssp3_1	Integer	N/A	Recommended	"In the last month	 how often have you been/your child appear angered because of things that happened were outside of your control?"	0::4;-99;77;88	0= Never; 1= Almost Never; 2=  Sometimes; 3= Fairly Often; 4= Very Often ; -99= N/A; 77= Refused ; 88= Missing	"PSSc3_11	anger	angeredoutsidecontrol	chrpss_pssp3_1	perceivedstress9	ps9	pss10_9_5c032c	pss10_q09	pss_11	pss_cohen_11	pss_q9	pssp3_11	sc011	scpxy011m"
pssp3_2	Integer	N/A	Recommended	"In the last month	 how often have you found yourself thinking about things that you have to accomplish?"	0::4;-99;77;88	0= Never; 1= Almost Never; 2=  Sometimes; 3= Fairly Often; 4= Very Often ; -99= N/A; 77= Refused ; 88= Missing	"PSSc3_12	pss_12	pss_cohen_12	pssp3_12"
pssp3_3	Integer	N/A	Recommended	"In the last month	 how often have you been able to control the way you spend your time?"	0::4;-99;77;88	4= Never; 3= Almost Never; 2=  Sometimes; 1= Fairly Often; 0= Very Often ; -99= N/A; 77= Refused ; 88= Missing	"PSSc3_13	pss_13	pss_cohen_13	pssp3_13"
pssp3_4	Integer	N/A	Recommended	"In the last month	 how often have you felt difficulties were piling up so high that you could not/your child did seem able to  overcome them?"	0::4;-99;77;88	0= Never; 1= Almost Never; 2=  Sometimes; 3= Fairly Often; 4= Very Often ; -99= N/A; 77= Refused ; 88= Missing	"PSSc3_14	chrpss_pssp3_4	overcome	perceivedstress10	pilinguptoohigh	ps10	pss10_10_1e108f	pss10_q10	pss4_t4	pss_14	pss_cohen_14	pss_q10	pssp3_14	sc014	scpxy014m"
date_updated	Date	N/A	Recommended	Date record updated	N/A	N/A	edit_date
pss1	Integer	N/A	Recommended	"1. In the last 24 hours	 how often have you been upset because of something that happened unexpectedly? "	0::4;95	0=Never; 1=Almost Never; 2=Sometimes; 3=Fairly Often; 4=Very Often; 95=Not Done	N/A
pss2	Integer	N/A	Recommended	"2. In the last 24 hours	 how often have you felt that you were unable to control the important things in your life? "	0::4;95	0=Never; 1=Almost Never; 2=Sometimes; 3=Fairly Often; 4=Very Often; 95=Not Done	N/A
pss3	Integer	N/A	Recommended	"3. In the last 24 hours	 how often have you felt nervous and stressed? "	0::4;95	0=Never; 1=Almost Never; 2=Sometimes; 3=Fairly Often; 4=Very Often; 95=Not Done	N/A
pss4	Integer	N/A	Recommended	"4. In the last 24 hours	 how often have you felt confident about your ability to handle your personal problems? "	0::4;95	0=Never; 1=Almost Never; 2=Sometimes; 3=Fairly Often; 4=Very Often; 95=Not Done	N/A
pss5	Integer	N/A	Recommended	"5. In the last 24 hours	 how often have you felt that things were going your way?"	0::4;95	0=Never; 1=Almost Never; 2=Sometimes; 3=Fairly Often; 4=Very Often; 95=Not Done	N/A
pss6	Integer	N/A	Recommended	"6. In the last 24 hours	 how often have you found that you could not cope with all the things that you had to do? "	0::4;95	0=Never; 1=Almost Never; 2=Sometimes; 3=Fairly Often; 4=Very Often; 95=Not Done	N/A
pss7	Integer	N/A	Recommended	"7. In the last 24 hours	 how often have you been able to control irritations in your life?"	0::4;95	0=Never; 1=Almost Never; 2=Sometimes; 3=Fairly Often; 4=Very Often; 95=Not Done	N/A
pss8	Integer	N/A	Recommended	"8. In the last 24 hours	 how often have you felt that you were on top of things?"	0::4;95	0=Never; 1=Almost Never; 2=Sometimes; 3=Fairly Often; 4=Very Often; 95=Not Done	N/A
pss9	Integer	N/A	Recommended	"9. In the last 24 hours	 how often have you been angered because of things that were outside of your control? "	0::4;95	0=Never; 1=Almost Never; 2=Sometimes; 3=Fairly Often; 4=Very Often; 95=Not Done	pss_13r
pss10	Integer	N/A	Recommended	"10. In the last 24 hours	 how often have you felt difficulties were piling up so high that you could not overcome them? "	0::4;95	0=Never; 1=Almost Never; 2=Sometimes; 3=Fairly Often; 4=Very Often; 95=Not Done	N/A
session_id	String	20	Recommended	session ID/screening ID	N/A	N/A	screeningid
version_form	String	121	Recommended	Form used/assessment name	N/A	N/A	"assessment_name	form_name	ps_version"
site	String	101	Recommended	Site	N/A	Study Site	"site_uid	siteid"
visit	String	60	Recommended	Visit name	N/A	N/A	"assessment	visit_name"
status	String	50	Recommended	Status	N/A	N/A	tstst
sc011_theta	Float	N/A	Recommended	sc011 Theta	N/A	N/A	N/A
sc011_tscore	Float	N/A	Recommended	sc011 T Score	N/A	N/A	N/A
sc011_se	Float	N/A	Recommended	sc011 SE	N/A	N/A	N/A
sc014_theta	Float	N/A	Recommended	sc014 Theta	N/A	N/A	N/A
sc014_tscore	Float	N/A	Recommended	sc014 T Score	N/A	N/A	N/A
sc014_se	Float	N/A	Recommended	sc014 SE	N/A	N/A	N/A
sc007_theta	Float	N/A	Recommended	sc007 Theta	N/A	N/A	N/A
sc007_tscore	Float	N/A	Recommended	sc007 T Score	N/A	N/A	N/A
sc007_se	Float	N/A	Recommended	sc007 SE	N/A	N/A	N/A
sc001_theta	Float	N/A	Recommended	sc001 Theta	N/A	N/A	N/A
sc001_tscore	Float	N/A	Recommended	sc001 T Score	N/A	N/A	N/A
sc001_se	Float	N/A	Recommended	sc001 SE	N/A	N/A	N/A
sc009_theta	Float	N/A	Recommended	sc009 Theta	N/A	N/A	N/A
sc009_tscore	Float	N/A	Recommended	sc009 T Score	N/A	N/A	N/A
sc009_se	Float	N/A	Recommended	sc009 SE	N/A	N/A	N/A
sc002_theta	Float	N/A	Recommended	sc002 Theta	N/A	N/A	N/A
sc002_tscore	Float	N/A	Recommended	sc002 T Score	N/A	N/A	N/A
sc002_se	Float	N/A	Recommended	sc002 SE	N/A	N/A	N/A
sc003_theta	Float	N/A	Recommended	sc003 Theta	N/A	N/A	N/A
sc003_tscore	Float	N/A	Recommended	sc003 T Score	N/A	N/A	N/A
sc003_se	Float	N/A	Recommended	sc003 SE	N/A	N/A	N/A
sc010_theta	Float	N/A	Recommended	sc010 Theta	N/A	N/A	N/A
sc010_tscore	Float	N/A	Recommended	sc010 T Score	N/A	N/A	N/A
sc010_se	Float	N/A	Recommended	sc010 SE	N/A	N/A	N/A
sc008m_theta	Float	N/A	Recommended	sc008m Theta	N/A	N/A	N/A
sc008m_tscore	Float	N/A	Recommended	sc008m T Score	N/A	N/A	N/A
sc008m_se	Float	N/A	Recommended	sc008m SE	N/A	N/A	N/A
sc006_theta	Float	N/A	Recommended	sc006 Theta	N/A	N/A	N/A
sc006_tscore	Float	N/A	Recommended	sc006 T Score	N/A	N/A	N/A
sc006_se	Float	N/A	Recommended	sc006 SE	N/A	N/A	N/A
nih_tlbx_theta	Float	N/A	Recommended	Theta	N/A	999=NA/NK/missing	"nihtbx_stress_par_theta	nihtbx_stress_theta	ps_theta_score	ps_theta_score_par	theta"
nih_tlbx_tscore	Float	N/A	Recommended	T-score	0::200; 999	999=NA/NK/missing	"nihtbx_stress_par_tscore	nihtbx_stress_tscore	ps_t_score	ps_t_score_par	tscore"
nih_tlbx_se	Float	N/A	Recommended	Standard Error	N/A	999=NA/NK/missing	"nihtbx_stress_par_se	nihtbx_stress_se	ps_se_score	ps_se_score_par	se"
visit_num	Integer	N/A	Recommended	Visit number	1::3	"1=Baseline	 2=12 Month	 3=24 Month"	N/A
scpxy009m_theta	Float	N/A	Recommended	scpxy009m Theta	N/A	N/A	N/A
scpxy009m_tscore	Float	N/A	Recommended	scpxy009m T Score	N/A	N/A	N/A
scpxy009m_se	Float	N/A	Recommended	scpxy009m SE	N/A	N/A	N/A
scpxy010m	Integer	N/A	Recommended	"In the past month	 how often did it seem that life was going well for your child?"	0::4; 999	4=never; 3=almost never; 2=sometimes; 1=fairly often; 0=very often; 999=NA/NK/missing	N/A
scpxy010m_theta	Float	N/A	Recommended	scpxy010m Theta	N/A	N/A	N/A
scpxy010m_tscore	Float	N/A	Recommended	scpxy010m T Score	N/A	N/A	N/A
scpxy010m_se	Float	N/A	Recommended	scpxy010m SE	N/A	N/A	N/A
scpxy011m_theta	Float	N/A	Recommended	scpxy011m Theta	N/A	N/A	N/A
scpxy011m_tscore	Float	N/A	Recommended	scpxy011m Score	N/A	N/A	N/A
scpxy011m_se	Float	N/A	Recommended	scpxy011m SE	N/A	N/A	N/A
scpxy014m_theta	Float	N/A	Recommended	scpxy014m Theta	N/A	N/A	N/A
scpxy014m_tscore	Float	N/A	Recommended	scpxy014m T Score	N/A	N/A	N/A
scpxy014m_se	Float	N/A	Recommended	scpxy014m SE	N/A	N/A	N/A
scpxy001m_theta	Float	N/A	Recommended	scpxy001m Theta	N/A	N/A	N/A
scpxy001m_tscore	Float	N/A	Recommended	scpxy001m T Score	N/A	N/A	N/A
scpxy001m_se	Float	N/A	Recommended	scpxy001m SE	N/A	N/A	N/A
scpxy002m	Integer	N/A	Recommended	"In the past month	 how often did your child appear frustrated by being unable to control or do something?"	0::4	0=never; 1=almost never; 2=sometimes; 3=fairly often; 4=very often	N/A
scpxy002m_theta	Float	N/A	Recommended	SCPxy002m Theta	N/A	N/A	N/A
scpxy002m_tscore	Float	N/A	Recommended	SCPxy002m T Score	N/A	N/A	N/A
scpxy002m_se	Float	N/A	Recommended	SCPxy002m SE	N/A	N/A	N/A
scpxy003_theta	Float	N/A	Recommended	scpxy003 Theta	N/A	N/A	N/A
scpxy003_tscore	Float	N/A	Recommended	scpxy003 T Score	N/A	N/A	N/A
scpxy003_se	Float	N/A	Recommended	scpxy003 SE	N/A	N/A	N/A
scpxy006m_theta	Float	N/A	Recommended	scpxy006m Theta	N/A	N/A	N/A
scpxy006m_tscore	Float	N/A	Recommended	scpxy006m Score	N/A	N/A	N/A
scpxy006m_se	Float	N/A	Recommended	scpxy006m SE	N/A	N/A	N/A
scpxy007m	Integer	N/A	Recommended	"In the past month	 how often did your child seem to feel things were going well?"	0::4; 999	4=never; 3=almost never; 2=sometimes; 1=fairly often; 0=very often; 999=NA/NK/missing	N/A
scpxy007m_theta	Float	N/A	Recommended	scpxy007m Theta	N/A	N/A	N/A
scpxy007m_tscore	Float	N/A	Recommended	scpxy007m T Score	N/A	N/A	N/A
scpxy007m_se	Float	N/A	Recommended	scpxy007m SE	N/A	N/A	N/A
scpxy008m_theta	Float	N/A	Recommended	scpxy008m Theta	N/A	N/A	N/A
scpxy008m_tscore	Float	N/A	Recommended	scpxy008mT Score	N/A	N/A	N/A
scpxy008m_se	Float	N/A	Recommended	scpxy008m SE	N/A	N/A	N/A
comments_misc	String	4000	Recommended	"Miscellaneous comments on study	 interview	 methodology relevant to this form data"	N/A	N/A	notes
timept	Integer	N/A	Recommended	Time Point	N/A	888 = not applicable; 999 = missing	timepoint
pss_distress_rs	Integer	N/A	Recommended	PSS Distress raw score	N/A	N/A	rawscore
pss_cope_rs	Integer	N/A	Recommended	PSS Cope raw score	N/A	N/A	N/A
missingsum_obvq	Integer	N/A	Recommended	total number of missing items	N/A	N/A	pssmiss_t4
